,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
52,Hyundai,Santro,Sportz Amt,570990,1086.0,4.0,4.0,35.0,Petrol,1560.0,,3610,1645.0,Hatchback,4.0,,5,69,Analog,5.0,Fabric,AMT,2400.0,165/70 R14,CD Player with USB & Aux-in,,Yes,Yes,,,Yes,Driver frontal airbag,0,8364,12148,11504,9167,9620,8950,7582,5796,4881,5819,3913,4111,210,0,0,0,0,0,0,0
53,Hyundai,Santro,Asta Mt,556490,1086.0,4.0,4.0,35.0,Petrol,1560.0,,3610,1645.0,Hatchback,4.0,,5,69,Analog,5.0,Fabric,Manual,2400.0,,CD/MP3/DVD Player with USB & Aux-in,,Yes,Yes,,,Yes,"Front passenger frontal airbag, Driver frontal airbag",1,3927,4606,4092,4309,4827,3282,3319,3382,2423,1883,1607,1354,2717,3952,1693,0,0,0,0,0
54,Tata,Tiago,Revotron Xe,460000,1199.0,3.0,4.0,35.0,Petrol,1535.0,,3765,1677.0,Hatchback,5.0,935.0,5,86,Analog,5.0,Fabric,Manual,2400.0,155/80 R13,Not on offer,2,,,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,933,1813,634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Tata,Tiago,Revotron Xt,520000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1203.5,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,Manual,2400.0,175/65 R14,CD Player with USB & Aux-in,2,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,0,1,0,0,0,1,1,32,387,92,0,2,1,1,0,0,2,5,6
56,Tata,Tiago,Revotron Xz,570000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1203.5,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,Manual,2400.0,175/65 R14,CD Player with USB & Aux-in,2,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,121,131,254,298,331,192,210,203,132,243,291,261,493,263,0,0,0,0,0,0
57,Tata,Tiago,Revotron Xz Plus,599000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1203.5,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,Manual,2400.0,175/65 R14,CD Player with USB & Aux-in,2,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,0,0,1,0,0,2,1,6,84,163,465,602,367,0,0,0,0,0,2,0
58,Tata,Tiago,Revotron Xz Plus Dual Tone,610000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1203.5,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,Manual,2400.0,175/65 R14,CD Player with USB & Aux-in,2,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,312,837,1145,782,1107,692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Tata,Tiago,Revotron Xza,620000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1204.0,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,AMT,2400.0,,CD Player with USB & Aux-in,,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,491,249,550,3,0,429,776,476,53,0,0,1,57,1082,946,0,0,0,3,126
60,Tata,Tiago,Revotron Xza Plus,649000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1204.0,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,AMT,2400.0,,CD Player with USB & Aux-in,,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,162,407,37,0,2,228,323,215,69,0,0,0,0,0,0,0,0,0,0,0
61,Tata,Tiago,Revotron Xza Plus Dual Tone,660000,1199.0,3.0,4.0,35.0,Petrol,1535.0,1204.0,3746,1647.0,Hatchback,5.0,930.0,5,86,Analog,5.0,Fabric,AMT,2400.0,,CD Player with USB & Aux-in,,Yes,Yes,,,Yes,"Driver frontal airbag, Front passenger frontal airbag",1,663,0,200,633,649,622,446,126,0,0,55,200,218,0,0,26,132,290,38,0
