2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,87,82
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,1050,488,395,362
0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,3,20,30
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,47,23,6,15
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,124,60,24,21
0,0,0,0,0,0,0,0,0,0,0,0,0,78,343,419,625,441,0,0
0,0,0,0,0,1,2,0,0,0,5,171,264,249,139,122,254,84,1,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,71,94
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,112
0,0,0,0,0,0,0,0,0,0,29,184,286,210,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,128,1048,2305,1788,1051,1059,175,216,228,142
0,0,0,0,0,0,0,1,1,0,19,641,923,1326,927,639,369,357,203,128
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,71,85,100,105
0,0,0,0,0,0,0,0,0,0,0,133,353,64,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,294,791,1015,748,0,0,0,0,0
1,4,4,1,0,1,0,1,0,0,584,613,87,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,640,885,285,0,0,0,0,0,0
1738,2168,3173,6911,11872,6776,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,386,990,2355,835,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,122,272,574,416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
581,1457,913,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,72,103,105,85
0,0,0,0,0,0,0,0,0,0,2,21,18,0,0,0,0,0,0,0
0,0,1,1,5,180,216,290,224,115,44,0,0,0,0,0,0,0,0,0
261,274,387,356,236,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,20,40,20,0
0,0,0,0,0,0,0,1,6,29,30,29,68,57,13,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,3,7,27,19,29,56,25,0,0,0
0,0,8,123,206,222,108,86,116,131,174,128,0,0,0,0,0,0,0,0
