,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Fuel_Tank_Capacity,Fuel_Type,Height,Mileage,Length,Width,Body_Type,Doors,Kerb_Weight,Gears,Power,Speedometer,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Audiosystem,Basic_Warranty,Bluetooth,CD_/_MP3_/_DVD_Player,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Airbags,Parking_Assistance,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001
43,6.0,55.0,481.0,618015.0,1198.0,3.0,4.0,35.0,5.0,1507.0,744.9869706840391,3788.0,1636.0,3.0,5.0,864.0,1.0,23.0,0.0,5.0,0.0,4.0,2450.0,9.0,7.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,8903.0,13013.0,12026.0,19667.0,23312.0,17375.0,18080.0,17454.0,15506.0,15958.0,15510.0,16367.0,21339.0,21935.0,20218.0,15501.0,13587.0,9607.0,5688.0,2298.0
44,23.0,25.0,293.0,422444.0,998.0,3.0,4.0,35.0,5.0,1560.0,744.9869706840391,3600.0,1600.0,3.0,5.0,830.0,1.0,13.0,0.0,5.0,0.0,4.0,2425.0,11.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,0.0,5155.0,9572.0,9063.0,10868.0,7766.0,9925.0,10778.0,11108.0,10098.0,9864.0,11067.0,7039.0,4942.0,1468.0,0.0,0.0,0.0,0.0,0.0,0.0
45,23.0,25.0,294.0,480670.0,998.0,3.0,4.0,60.0,0.0,1560.0,744.9869706840391,3695.0,1600.0,3.0,5.0,915.0,1.0,7.0,0.0,5.0,0.0,4.0,2425.0,15.0,6.0,1.0,1.0,1.0,1.0,1.0,1.0,51.0,0.0,4069.0,9843.0,8392.0,8973.0,13552.0,11745.0,11514.0,11637.0,9551.0,8334.0,8049.0,5368.0,8408.0,9253.0,5845.0,4082.0,2537.0,1576.0,1165.0,611.0
46,13.0,113.0,253.0,429990.0,1086.0,4.0,4.0,35.0,5.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,14.0,0.0,5.0,0.0,4.0,2400.0,142.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,729.0,1572.0,1417.0,1489.0,2262.0,1982.0,1909.0,1981.0,1424.0,1848.0,144.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,13.0,113.0,361.0,503990.0,1086.0,4.0,4.0,35.0,5.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,14.0,0.0,5.0,0.0,4.0,2400.0,142.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,404.0,758.0,928.0,572.0,707.0,835.0,879.0,777.0,818.0,913.0,588.0,472.0,878.0,748.0,535.0,552.0,378.0,174.0,100.0,92.0
48,13.0,113.0,362.0,547990.0,1086.0,4.0,4.0,35.0,0.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,7.0,2.0,5.0,0.0,4.0,2400.0,142.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,225.0,561.0,632.0,430.0,0.0,1.0,0.0,2.0,0.0
49,13.0,113.0,360.0,530990.0,1086.0,4.0,4.0,35.0,5.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,14.0,0.0,5.0,0.0,0.0,2400.0,10.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,5858.0,1029.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,13.0,113.0,450.0,512990.0,1086.0,4.0,4.0,35.0,5.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,14.0,0.0,5.0,0.0,4.0,2400.0,14.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,14817.0,15487.0,14253.0,11645.0,648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,13.0,113.0,451.0,578990.0,1086.0,4.0,4.0,60.0,0.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,7.0,0.0,5.0,0.0,4.0,2400.0,14.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,12674.0,13987.0,12550.0,15598.0,16640.0,14277.0,13855.0,12025.0,6833.0,481.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,13.0,113.0,449.0,570990.0,1086.0,4.0,4.0,35.0,5.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,14.0,0.0,5.0,0.0,0.0,2400.0,14.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,41.0,0.0,8364.0,12148.0,11504.0,9167.0,9620.0,8950.0,7582.0,5796.0,4881.0,5819.0,3913.0,4111.0,210.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,13.0,113.0,200.0,556490.0,1086.0,4.0,4.0,35.0,5.0,1560.0,744.9869706840391,3610.0,1645.0,3.0,4.0,218329.6451048951,1.0,14.0,0.0,5.0,0.0,4.0,2400.0,142.0,4.0,4.0,0.0,0.0,1.0,1.0,0.0,87.0,1.0,3927.0,4606.0,4092.0,4309.0,4827.0,3282.0,3319.0,3382.0,2423.0,1883.0,1607.0,1354.0,2717.0,3952.0,1693.0,0.0,0.0,0.0,0.0,0.0
54,32.0,119.0,387.0,460000.0,1199.0,3.0,4.0,35.0,5.0,1535.0,744.9869706840391,3765.0,1677.0,3.0,5.0,935.0,1.0,29.0,0.0,5.0,0.0,4.0,2400.0,10.0,6.0,1.0,1.0,1.0,1.0,1.0,0.0,51.0,1.0,933.0,1813.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
55,32.0,119.0,390.0,520000.0,1199.0,3.0,4.0,35.0,5.0,1535.0,1203.5,3746.0,1647.0,3.0,5.0,930.0,1.0,29.0,0.0,5.0,0.0,4.0,2400.0,21.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,51.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,32.0,387.0,92.0,0.0,2.0,1.0,1.0,0.0,0.0,2.0,5.0,6.0
